문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q6794,L03,1,계산,학습,밑면이 한 변 4 cm인 정사각형이고 높이가 6 cm인 사각기둥의 옆면의 넓이는?,96 cm²,옆면 넓이=밑면 둘레×높이=4×4×6=96 cm².,48 cm²,L03,옆면 한 면만 계산한 오답이다.,16 cm²,L03,밑면의 넓이를 구한 오답이다.,24 cm²,L03,둘레만 구한 오답이다.,64 cm²,L03,밑면과 옆면을 혼동한 오답이다.,
Q6795,L03,1,계산,학습,"밑면의 반지름이 2 cm, 모선의 길이가 4 cm인 원뿔의 옆면의 넓이는?",8π cm²,원뿔 옆면 넓이=πrl=π×2×4=8π cm².,4π cm²,L03,r²π로 계산한 오답이다.,16π cm²,L03,l²π로 계산한 오답이다.,2π cm²,L03,π×(r+l)로 계산한 오답이다.,12π cm²,L03,옆면과 밑면을 더한 오답이다.,
Q6796,L03,1,계산,학습,"가로 3 cm, 세로 5 cm, 높이 7 cm인 직육면체의 표면적은?",142 cm²,표면적=2(3×5+5×7+3×7)=2(15+35+21)=2×71=142 cm².,105 cm²,L03,부피를 계산한 오답이다.,71 cm²,L03,÷2를 하지 않은 오답이다.,120 cm²,L03,잘못 계산한 오답이다.,150 cm²,L03,다른 오류의 오답이다.,
Q6797,L03,1,계산,학습,"밑면의 반지름이 7 cm, 모선의 길이가 25 cm인 원뿔의 옆면의 넓이는?",175π cm²,원뿔 옆면 넓이=πrl=π×7×25=175π cm².,49π cm²,L03,r²π로 계산한 오답이다.,625π cm²,L03,l²π로 계산한 오답이다.,7π cm²,L03,r만 사용한 오답이다.,350π cm²,L03,옆면을 두 배 계산한 오답이다.,
Q7186,L03,1,계산,학습,한 변의 길이가 6 cm인 정육면체의 표면적은?,216 cm²,정육면체 6면 모두 합동인 정사각형이므로 표면적 = 6×6² = 216 cm²이다.,36 cm²,L03,한 면의 넓이만 구한 값이다. ×6을 해야 한다.,216 cm³,L04,단위가 cm³이면 부피이다. 표면적 단위는 cm²이다.,72 cm²,L03,6×6×2=72는 두 면만 더한 값이다. 6면 전체를 더해야 한다.,1296 cm²,L03,6⁴가 아닌 6×6²=216이다.,
Q7187,L03,1,계산,학습,"밑면의 반지름이 5 cm, 높이가 3 cm인 원기둥의 옆면의 넓이는?",30π cm²,옆면의 넓이 = 2π×반지름×높이 = 2π×5×3 = 30π cm²이다.,15π cm²,L03,2를 빠뜨린 값이다. 옆면 = 2πrh이다.,25π cm²,L03,π×5²는 밑면의 넓이이다.,60π cm²,L03,r과 h를 모두 제곱한 오류이다.,8π cm²,L03,"2π(r+h) = 2π×8 = 16π이며, 이는 옆면 넓이가 아니다.",
Q7188,L03,1,개념확인,학습,"원뿔의 옆면의 넓이 공식으로 옳은 것은? (밑면의 반지름 r, 모선의 길이 l)",πrl,"원뿔의 옆면은 부채꼴이고, 그 넓이 = πrl이다.",πr²,L03,πr²는 밑면(원)의 넓이이다.,2πrl,L03,원기둥 옆면 공식 2πrh와 혼동한 오답이다.,πr²l,L04,πr²l은 원기둥의 부피 공식 형태이다.,2πr(r+l),L03,2πr(r+l)은 원뿔의 전체 표면적 공식이다.,
Q7189,L03,1,개념확인,학습,입체도형의 표면적에 대한 설명으로 옳은 것은?,표면적은 입체를 둘러싼 모든 면의 넓이의 합이다.,"표면적은 입체를 둘러싼 모든 면의 넓이의 합이므로, 겉에 보이는 모든 면을 더해야 한다.",표면적은 가장 넓은 면의 넓이를 의미한다.,L03,"표면적은 모든 면의 합이지, 가장 큰 한 면의 넓이가 아니다.",직육면체의 표면적은 가로×세로×높이이다.,L04,가로×세로×높이는 부피 공식이다.,같은 부피의 입체는 표면적도 같다.,L03,부피가 같아도 모양이 다르면 표면적은 다를 수 있다.,표면적의 단위는 cm³이다.,L04,표면적은 넓이이므로 단위는 cm²이다.,
Q7459,L03,1,계산,학습,한 모서리가 3인 정육면체의 표면적은?,54,표면적=6×3²=6×9=54.,27,L03,3³=27로 부피와 혼동했다.,36,L03,6×3×2=36으로 잘못 계산했다.,18,L03,6×3=18으로 한 면만 계산했다.,9,L03,한 면의 넓이 3²=9만 답으로 썼다.,
Q7460,L03,1,계산,학습,"가로 2, 세로 3, 높이 5인 직육면체의 표면적은?",62,표면적=2(2×3+3×5+2×5)=2(6+15+10)=2×31=62.,30,L03,부피 2×3×5=30과 혼동했다.,31,L03,2를 곱하지 않아 31이 됐다.,40,L03,4개 면만 계산하여 2(3×5+2×5)×2=40이 됐다.,64,L03,합산 과정에서 계산 실수가 생겼다.,
Q7461,L03,1,계산,학습,"밑면 반지름 4, 높이 6인 원기둥의 겉넓이는?",80π,겉넓이=2πr²+2πrh=2π×16+2π×4×6=32π+48π=80π.,48π,L03,옆면 2πrh=48π만 계산했다.,32π,L03,밑면 2πr²=32π만 계산했다.,96π,L03,옆면을 2πr²h=2π×16×6=192π로 잘못 계산했다.,64π,L03,계산 과정에서 실수가 발생했다.,
Q7864,L03,1,개념확인,학습,원기둥의 옆면을 평면에 펼쳤을 때 나오는 도형으로 옳은 것은?,직사각형,"원기둥 옆면을 펼치면 가로=2πr, 세로=h인 직사각형이 된다.",정사각형,L03,가로와 세로가 같을 때만 정사각형이다. 일반적으로는 직사각형이다.,원,L03,원은 밑면이다. 옆면을 펼치면 직사각형이 된다.,삼각형,L03,삼각형은 각뿔 옆면이다. 원기둥 옆면을 펼치면 직사각형이다.,부채꼴,L03,부채꼴은 원뿔 옆면을 펼친 모양이다. 원기둥은 직사각형이다.,
Q7865,L03,1,계산,학습,한 모서리의 길이가 5 cm인 정육면체의 표면적은?,150 cm²,"정육면체 6면 각각 5²=25 cm², 합계 6×25=150 cm²이다.",125 cm²,L04,5³=125는 부피이다. 표면적은 6×(한 면의 넓이)이다.,25 cm²,L03,한 면의 넓이만 구한 값이다. 6면을 합산해야 한다.,100 cm²,L03,4면만 계산한 오류이다. 정육면체는 6면 모두 합산해야 한다.,30 cm²,L03,6×5=30은 넓이 계산이 아니다. 표면적=6×5²=150 cm²이다.,
Q7866,L03,1,계산,학습,"밑면의 반지름이 4 cm, 모선의 길이가 7 cm인 원뿔의 옆면의 넓이는?",28π cm²,원뿔 옆면 넓이=πrl=π×4×7=28π cm²이다.,16π cm²,L03,16π는 밑면의 넓이이다. 옆면 넓이는 πrl이다.,44π cm²,L03,π(r+l)=11π의 잘못된 공식이다. 옆면 넓이=πrl=28π이다.,56π cm²,L03,2πrl은 옆면이 아닌 잘못된 식이다. 옆면 넓이=πrl=28π이다.,112π cm²,L04,r²l에서 나온 값이다. 원뿔 옆면 공식은 πrl이다.,
Q9114,L03,1,계산,학습,"가로 3, 세로 4, 높이 6인 직육면체의 표면적은?",108,2(3×4+4×6+3×6)=2(12+24+18)=2×54=108이다.,54,L03,2를 곱하지 않아 54가 된 오답이다.,72,L03,3×4+4×6=12+24=36을 2배=72 등 일부 면만 계산한 오답이다.,144,L03,3×4×6×2=144로 부피를 2배 한 오답이다.,24,L04,부피 3×4×6=72와 혼동하거나 다르게 계산한 오답이다.,
Q9115,L03,1,계산,학습,밑면 반지름이 2이고 높이가 7인 원기둥의 옆면 넓이는?,28π,옆면 넓이=2πrh=2π×2×7=28π이다.,4π,L03,πr²=4π로 밑면 넓이를 옆면으로 혼동한 오답이다.,14π,L03,πrh=14π로 2를 빠뜨린 오답이다.,56π,L03,옆면을 2배로 계산한 오답이다.,9π,L03,(r+h)=9를 넓이로 혼동한 오답이다.,
Q9116,L03,1,계산,학습,밑면 반지름이 5이고 높이가 12인 원뿔의 옆면 넓이는?,65π,모선 l=√(5²+12²)=√169=13. 옆면=πrl=π×5×13=65π이다.,60π,L03,모선을 높이 12로 혼동하여 π×5×12=60π로 계산한 오답이다.,25π,L03,πr²=25π로 밑면 공식을 적용한 오답이다.,130π,L03,2πrl=130π로 2를 잘못 곱한 오답이다.,85π,L03,π×r×(l+r)=π×5×17=85π로 잘못 계산한 오답이다.,
Q10602,L03,1,계산형,학습,"밑면의 반지름이 6 cm, 모선의 길이가 10 cm인 원뿔의 표면적은?",96π cm²,밑면: π×6²=36π. 옆면(부채꼴): π×6×10=60π. 표면적=96π cm².,60π cm²,L03,옆면의 넓이만 계산한 오답이다.,36π cm²,L03,밑면의 넓이만 계산한 오답이다.,120π cm²,L03,옆면을 2πrl로 잘못 계산한 오답이다.,72π cm²,L03,모선 대신 반지름을 사용하여 계산한 오답이다.,
Q10603,L03,1,계산형,학습,반지름이 5 cm인 반구의 곡면(둥근 면)의 넓이는?,50π cm²,구 표면적의 절반=4πr²÷2=2πr²=2π×25=50π cm².,25π cm²,L03,구의 표면적 4πr²에서 r²=25를 그대로 쓴 오답이다.,100π cm²,L03,구의 표면적 4πr²=100π를 반으로 나누지 않은 오답이다.,75π cm²,L03,구 표면적의 3/4로 잘못 계산한 오답이다.,4π cm²,L03,공식에서 r²=25 대신 r=5를 그대로 쓴 오답이다.,
Q10604,L03,1,계산형,학습,"가로 5 cm, 세로 5 cm, 높이 8 cm인 직육면체의 표면적은?",210 cm²,2(5×5+5×8+5×8)=2(25+40+40)=2×105=210 cm².,200 cm²,L03,윗면과 아랫면의 넓이 25를 빠뜨린 오답이다.,170 cm²,L03,옆면 4개 중 2개만 계산한 오답이다.,240 cm²,L03,5×5=25를 5×8=40으로 혼동한 오답이다.,105 cm²,L03,한 면씩만 계산하여 2를 곱하지 않은 오답이다.,
Q10605,L03,1,계산형,학습,"밑면의 반지름이 4 cm, 높이가 6 cm인 원기둥의 표면적은?",80π cm²,밑면 두 개: 2×π×4²=32π. 옆면: 2π×4×6=48π. 표면적=80π cm².,48π cm²,L03,옆면의 넓이만 계산한 오답이다.,64π cm²,L03,밑면 두 개의 넓이만 계산한 오답이다.,96π cm²,L03,옆면 계산에서 2πr 대신 πr²h를 혼동한 오답이다.,32π cm²,L03,밑면 두 개의 넓이를 계산하고 옆면을 빠뜨린 오답이다.,
