문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q1753,N03,2,응용,학습,"가로 60 cm, 세로 42 cm인 바닥을 정사각형 타일로 빈틈없이 채울 때, 타일 한 변의 최대 길이는?",6 cm,"GCD(60, 42)=6이므로 한 변의 최대 길이는 6 cm입니다.",3 cm,N03,최대공약수를 절반으로 잘못 계산한 실수입니다.,2 cm,N03,더 작은 공약수를 선택한 오류입니다.,7 cm,N03,42의 인수 중 하나인 7을 선택했지만 60의 약수가 아닌 실수입니다.,420 cm,N03,"최대공약수 대신 최소공배수 LCM(60,42)=420을 구한 오류입니다.",
Q1755,N03,2,계산,학습,2의 배수이면서 3의 배수인 수 중 50 이상 80 이하인 자연수는 몇 개인가?,5,"LCM(2,3)=6의 배수를 구하면 54, 60, 66, 72, 78로 5개입니다.",4,N03,54를 빠뜨리거나 범위 계산 실수로 4개로 센 경우입니다.,6,N03,48도 포함하거나 계산 실수로 6으로 센 오류입니다.,10,N03,2의 배수 개수 15개 등과 혼동하여 10을 고른 실수입니다.,3,N03,LCM을 잘못 구하여 더 적게 센 오류입니다.,
Q2537,N03,2,계산,학습,45와 75의 최소공배수는?,225,"45=3²×5, 75=3×5²이므로 최소공배수=3²×5²=225",15,N03,최대공약수 3×5=15를 최소공배수로 혼동,3375,N03,45×75=3375를 최소공배수로 잘못 계산,150,N03,75의 배수 중 45의 배수도 되는 수를 잘못 찾아 150으로 답함,135,N03,45×3=135를 최소공배수로 잘못 계산,
Q2540,N03,2,계산,학습,30과 42의 최대공약수는?,6,"30=2×3×5, 42=2×3×7이므로 최대공약수=2×3=6",2,N03,공통 소인수를 2 하나만 찾아 2를 답으로 씀,3,N03,공통 소인수를 3 하나만 찾아 3을 답으로 씀,210,N03,최소공배수 2×3×5×7=210을 최대공약수로 혼동,12,N03,공약수 목록 나열 실수로 12를 최대공약수로 씀,
Q2541,N03,2,응용,학습,"버스 A는 12분마다, 버스 B는 18분마다 출발한다. 오전 8시에 동시 출발한 후 처음으로 다시 동시에 출발하는 시각은?",오전 8시 36분,"최소공배수(12, 18)=36이므로 8시+36분=오전 8시 36분",오전 8시 30분,N03,12와 18의 평균을 15로 보거나 12×18/12=18분이라 혼동,오전 8시 24분,N03,최대공약수 6×4=24분 후라고 잘못 계산,오전 8시 6분,N03,최대공약수 6을 시간으로 사용,오전 9시 12분,N03,12×18=216분=3시간 36분이 지나야 한다고 잘못 계산,
Q2544,N03,2,계산,학습,108의 약수의 개수는?,12,108=2²×3³이므로 약수 개수=(2+1)(3+1)=3×4=12,6,N03,지수의 합 2+3=5에 1을 더해 6으로 계산,9,N03,108=3×36=3⁴... 로 소인수분해를 잘못해 (1+1)(4+1)=10 또는 9,10,N03,"108=4×27=2²×3³에서 (2+3)=5, 5×2=10으로 잘못 계산",8,N03,108=2²×3³에서 약수 개수를 2×3=6 또는 3×3-1=8로 계산,
Q3328,N03,2,계산,학습,120의 약수의 개수는?,16,120=2³×3×5. 약수 개수=(3+1)×(1+1)×(1+1)=4×2×2=16.,8,N03,각 지수에 1을 더한 값을 곱하지 않고 더하여 (3+1)+(1+1)+(1+1)=8,6,N03,"소인수의 종류 수(2,3,5)에 2를 곱하여 6으로 계산",12,N03,2의 지수를 3이 아닌 2로 잘못 읽어 (2+1)(1+1)(1+1)=12,15,N03,약수를 일일이 나열하다 한 개를 빠뜨려 15개로 씀,
Q3329,N03,2,응용,학습,"어떤 자연수로 45를 나누면 3이 남고, 75를 나누면 3이 남는다. 이 자연수 중 가장 큰 것은?",6,"45-3=42, 75-3=72. GCD(42,72)=6. 나머지 3<6이므로 최댓값은 6.",3,N03,나머지 3을 바로 답으로 씀 (나누는 수는 나머지보다 커야 하므로 4 이상),42,N03,45-3=42를 바로 답으로 씀,15,N03,45와 75의 최대공약수 15를 구하고 나머지 조건을 검토하지 않음,72,N03,75-3=72를 바로 답으로 씀,
Q3330,N03,2,응용,학습,"사탕 48개와 초콜릿 36개를 학생들에게 같은 수만큼 나누어 줄 때, 최대 몇 명에게 나눌 수 있는가?",12명,"GCD(48,36): 48=2⁴×3, 36=2²×3². GCD=2²×3=12. 최대 12명.",6명,N03,GCD를 2×3=6으로 잘못 계산,4명,N03,공통 소인수 2²=4만 최대공약수로 선택,36명,N03,최대 학생 수를 작은 수인 36으로 씀,144명,N03,"LCM(48,36)=144를 최대 나눌 수 있는 명수로 혼동",
Q3331,N03,2,응용,학습,"A는 5일마다, B는 8일마다, C는 10일마다 청소한다. 세 사람이 동시에 청소하는 최소 주기는?",40일,"5, 8=2³, 10=2×5. LCM=2³×5=40.",400일,N03,5×8×10=400을 최소공배수로 씀,1일,N03,"최소공배수와 최대공약수를 혼동하여 GCD(5,8,10)=1",20일,N03,LCM의 절반인 20일을 최소 주기로 오인,80일,N03,공배수 중 하나인 80일을 최소공배수로 오인,
Q4116,N03,2,계산,학습,"두 자연수 A, B의 최대공약수가 12이고 최소공배수가 84일 때, A+B의 값은? (단, A < B)",96,"A=12a, B=12b (GCD(a,b)=1)로 놓으면 12ab=84이므로 ab=7. 서로소 양의 정수 쌍 (a,b)에서 ab=7인 것은 (1,7)뿐. 따라서 A=12, B=84이고 A+B=96.",72,N03,GCD와 LCM의 곱이 A×B임을 이용해 96 대신 72를 계산하는 오류.,108,N03,최소공배수인 84에 최대공약수 12를 더해 108이라 잘못 답함.,84,N03,최소공배수 84가 두 수의 합이라고 오해.,168,N03,두 수의 곱(GCD×LCM/GCD²×GCD=12×84/12=84)을 합으로 잘못 계산.,
Q4118,N03,2,계산,학습,"세 자연수 30, 42, 66의 최대공약수는?",6,"30=2×3×5, 42=2×3×7, 66=2×3×11. 세 수의 공통 소인수: 2×3=6. 최대공약수=6.",2,N03,공통 소인수 2만 보고 3을 빠뜨려 2라 답함.,3,N03,공통 소인수 3만 보고 2를 빠뜨려 3이라 답함.,12,N03,30과 42의 GCD=6을 구하고 나서 66을 확인하지 않고 두 배인 12로 잘못 답함.,1,N05,소인수분해를 잘못 해 공통 인수가 없다고 오해해 1이라 답함.,
Q4119,N03,2,개념,학습,약수의 개수가 정확히 3개인 자연수 중 100 이하인 것의 개수는?,4,"약수가 3개인 자연수는 소수 p의 제곱(p²)이다(약수: 1, p, p²). 100 이하인 것: 2²=4, 3²=9, 5²=25, 7²=49. 11²=121>100이므로 제외. 총 4개.",5,N03,11²=121을 100 이하라고 잘못 생각해 5개라 답함.,3,N05,7²=49를 빠뜨려 3개라 답함.,6,N03,소수의 제곱 이외에도 약수가 3개인 수가 있다고 오해해 6이라 답함.,2,N05,"소수 p를 2, 3만 고려해 2개라 답함.",
Q4121,N03,2,응용,학습,"길이가 각각 42 cm와 70 cm인 두 색 테이프를 남은 부분 없이 같은 길이로 자를 때, 잘린 조각의 총 개수의 최솟값은?",8,"GCD(42,70)=14. 조각 수를 최소로 하려면 한 조각의 길이가 최대(14 cm)이어야 함. 42÷14=3조각, 70÷14=5조각. 총 3+5=8조각.",7,N03,70÷14=5를 4로 잘못 계산해 3+4=7이라 답함.,14,N03,GCD=14를 조각 수로 혼동.,5,N03,70cm 테이프의 조각 수 5만 답으로 씀.,12,N03,GCD를 7로 잘못 구해 42÷7+70÷7=6+10=16으로 계산하다 오류.,
Q4123,N03,2,계산,학습,두 자리 자연수 중 4의 배수이면서 6의 배수가 아닌 것은 모두 몇 개인가?,14,"두 자리 4의 배수: 12,16,…,96 → (96−12)÷4+1=22개. LCM(4,6)=12이므로 두 자리 12의 배수: 12,24,36,48,60,72,84,96 → 8개. 4의 배수이면서 6의 배수가 아닌 것: 22−8=14개.",22,N03,6의 배수를 제외하지 않고 두 자리 4의 배수 전체인 22라 답함.,8,N03,4의 배수이면서 6의 배수인 것(12의 배수 8개)을 답으로 씀.,12,N03,22−10=12처럼 뺄 개수를 잘못 세어 12라 답함.,16,N03,두 자리 4의 배수를 24개로 잘못 세어 24−8=16이라 답함.,
Q4124,N03,2,계산,학습,48의 약수 중 두 자리 자연수인 것의 합은?,100,"48=2⁴×3의 약수: 1,2,3,4,6,8,12,16,24,48. 두 자리 약수: 12,16,24,48. 합=12+16+24+48=100.",52,N03,48을 빠뜨려 12+16+24=52라 답함.,84,N03,16을 빠뜨려 12+24+48=84라 답함.,88,N03,12를 빠뜨려 16+24+48=88이라 답함.,108,N03,한 자리 약수 8도 포함해 8+12+16+24+48=108이라 답함.,
Q4125,N03,2,계산,학습,"두 자연수의 최대공약수가 9이고 두 수의 비가 3:5일 때, 두 수의 합은?",72,"두 수를 9×3=27과 9×5=45로 놓으면 GCD(27,45)=9 ✓. 두 수의 합=27+45=72.",45,N03,두 수 중 큰 수 45만 답으로 씀.,27,N03,두 수 중 작은 수 27만 답으로 씀.,36,N03,9×(3+5)/2=36처럼 평균 개념을 잘못 적용.,63,N03,"두 수를 7×3=21, 7×5=35로 잘못 설정해 합이 56, 혹은 다른 수를 써서 63이라 답함.",
Q4916,N03,2,계산,학습,"두 자연수의 곱이 720이고 최소공배수가 60일 때, 최대공약수는?",12,두 자연수의 곱 = 최대공약수 × 최소공배수. 720 = 최대공약수 × 60. 최대공약수 = 720 ÷ 60 = 12.,15,N03,720÷60을 잘못 계산하여 15로 오답.,6,N03,공식 대신 60의 약수 중 하나를 임의로 선택.,60,N03,최소공배수와 최대공약수를 혼동.,720,N03,두 수의 곱을 최대공약수로 오인.,
Q4918,N03,2,응용,학습,"어떤 자연수로 77을 나누면 나머지가 5이고, 95를 나누면 나머지가 5이다. 이 자연수 중 가장 큰 것은?",18,"어떤 수는 77-5=72와 95-5=90의 공약수이면서 5보다 커야 한다. GCD(72,90)=18. 5보다 큰 공약수: 6, 9, 18. 가장 큰 것은 18.",6,N03,공약수 중 가장 작은 5보다 큰 수인 6을 선택.,72,N03,공약수를 구하지 않고 77-5=72를 그대로 답으로.,9,N03,"공약수 6, 9, 18 중 중간 값 9를 선택.",36,N03,GCD 계산 오류로 36이라 오답.,
Q4919,N03,2,응용,학습,"두 자연수 56과 b의 최대공약수가 14일 때, b가 될 수 있는 두 자리 수 중 가장 큰 것은?",98,"b=14k(k는 자연수)이고, GCD(56/14, k)=GCD(4,k)=1이어야 한다. 즉 k가 홀수. 두 자리 수: k=1(14), 3(42), 5(70), 7(98). 가장 큰 것은 98.",84,N03,"b=14×6=84이지만 GCD(56,84)=28≠14이므로 조건 불만족.",70,N03,70도 가능하지만 98이 더 크므로 최댓값이 아님.,42,N03,42도 가능하지만 최댓값이 아님.,56,N03,"GCD(56,56)=56≠14이므로 조건 불만족.",
Q4921,N03,2,계산,학습,1부터 200까지의 자연수 중 6의 배수이면서 동시에 8의 배수인 것은 몇 개인가?,8,"6의 배수이면서 8의 배수인 수는 LCM(6,8)=24의 배수. 200÷24=8 나머지 8. 따라서 24의 배수는 24, 48, …, 192로 8개.",16,N03,LCM 대신 200을 6으로 나눈 개수와 8로 나눈 개수를 더하는 오류.,25,N03,200÷8=25를 답으로 쓴 오류.,33,N03,200÷6≈33을 답으로 쓴 오류.,9,N03,24×9=216>200인데 9로 잘못 셈.,
Q4923,N03,2,계산,학습,24와 60의 모든 공약수의 합은?,28,"GCD(24,60)=12. 12의 약수: 1, 2, 3, 4, 6, 12. 합=1+2+3+4+6+12=28.",12,N03,최대공약수 12만 답으로 쓴 오류.,24,N03,공약수를 잘못 구해 합 계산 오류.,4,N03,공약수 개수를 구해 4개로 오답.,32,N03,약수를 하나 더 포함시켜 합 32로 오답.,
Q8613,N03,2,계산,학습,20의 약수 중 홀수인 것의 개수는?,2,"20=2²·5. 홀수 약수: 1,5 → 2개",4,N03,"모든 약수 개수: 1,2,4,5,10,20=6개를 틀리게 셈",1,N03,홀수 약수를 5만으로 인식,3,N03,"1,5,10을 홀수로 혼동",6,N03,전체 약수 6개를 홀수 약수 개수로,
Q8614,N03,2,계산,학습,두 수 18과 30의 최대공약수와 최소공배수는?,최대공약수 6 최소공배수 90,"18=2·3², 30=2·3·5. 최대공약수=2·3=6, 최소공배수=2·3²·5=90",최대공약수 6 최소공배수 54,N03,최소공배수 계산에서 5를 빠뜨림,최대공약수 3 최소공배수 90,N03,최대공약수에서 공통인수 2를 빠뜨림,최대공약수 18 최소공배수 30,N03,두 수 자체를 최대공약수/최소공배수로 오인,최대공약수 2 최소공배수 90,N03,최대공약수를 가장 작은 공약수 2로만,
Q8615,N03,2,응용,학습,두 자연수의 최대공약수가 3이고 최소공배수가 36이다. 두 수의 곱은?,108,최대공약수×최소공배수=두 수의 곱: 3×36=108,12,N03,최대공약수와 최소공배수의 합으로 계산,39,N03,최대공약수+최소공배수=39,9,N03,최대공약수를 제곱: 3²=9,36,N03,최소공배수만 답으로,
Q8616,N03,2,응용,학습,24의 약수의 합은?,60,24=2³·3. 약수: 1+2+3+4+6+8+12+24=60,24,N03,24만 더하거나 약수 목록 불완전,48,N03,일부 약수를 두 번 더하는 오류,36,N03,약수 목록 일부 누락: 1+2+3+4+6+8+12=36,30,N03,"작은 약수만 더하고 12,24 누락",
Q8620,N03,2,계산,진단검토,두 수 A와 B의 최대공약수가 6이고 최소공배수가 72이다. A×B의 값은?,432,최대공약수×최소공배수 = A×B: 6×72=432,78,N03,최대공약수+최소공배수=78 (곱셈이 아닌 덧셈 사용),12,N03,72÷6=12를 A×B로 오인 (나눗셈 혼동),36,N03,최대공약수의 제곱 6²=36으로 계산 (공식 미숙지),144,N03,최소공배수×2=144로 임의 계산 (곱셈 관계 오해),
